	k_groups_corrected
MYL9	13k83
PLN	13k83
IGF1	13k83
MYH11	13k83
ATP2B4	13k83
MYLK	13k83
A2M	13k83
C3	13k83
C1RL	13k83
CLU	13k83
CFH	13k83
C4A	13k83
CFHR1	13k83
C4B	13k83
RGCC	13k83
CSRP1	13k83
AQP1	13k83
WFDC1	13k83
PRNP	13k83
SERPINI1	13k83
MEF2C	13k83
GNAI1	13k83
CAP2	13k83
ITPR1	13k83
TAGLN	13k83
FHL1	13k83
CCL21	13k83
FXYD6	13k83
AXL	13k83
KCNMB1	13k83
DNAJB4	13k83
HSPB8	13k83
ST8SIA1	13k83
CYBRD1	13k83
PLPP3	13k83
ZMIZ1	13k83
TUSC3	13k83
FCHSD2	13k83
APOD	13k83
PTGIS	13k83
MAN1C1	13k83
PLCL1	13k83
RFC3	30k37
GTF2F2	30k37
HMGB1	30k37
CUL4A	30k37
NUDT15	30k37
NUDT4	30k37
NUDT4B	30k37
PCID2	30k37
EXOSC8	30k37
MRTO4	5k101
NPM1	5k101
WDR3	5k101
EIF3I	5k101
NOLC1	5k101
EBNA1BP2	5k101
GAR1	5k101
DDX21	5k101
ABCE1	5k101
NOL11	5k101
SART3	5k101
URB2	5k101
HEATR1	5k101
DDX18	5k101
RUVBL1	5k101
TFB2M	5k101
DENR	5k101
RBMX	5k101
PES1	5k101
SNRPD3	5k101
GNL2	5k101
XPO1	5k101
GTPBP4	5k101
FBL	5k101
CLNS1A	5k101
NIP7	5k101
RAN	5k101
UTP18	5k101
RRP15	5k101
DDX10	5k101
USP39	5k101
STRAP	5k101
HNRNPA2B1	5k101
NUP42	5k101
XPOT	5k101
TOMM20	5k101
CCT4	5k101
CCT2	5k101
NUP98	5k101
NUP205	5k101
NUP153	5k101
NUP133	5k101
CCT7	5k101
LRPPRC	5k101
SSB	5k101
NUP93	5k101
CCT3	5k101
NUP155	5k101
CCT5	5k101
GATC	5k101
NARS2	5k101
PPA1	5k101
EPRS1	5k101
DARS1	5k101
PUS7	5k101
RANGAP1	5k101
IPO7	5k101
PARP1	5k101
INTS13	5k101
MSH6	5k101
MSH2	5k101
RFC2	5k101
DEK	5k101
CHEK1	5k101
KDM1A	5k101
RFC4	5k101
PAXIP1	5k101
RAD51AP1	5k101
TTC26	5k101
ANAPC1	5k101
CDC6	5k101
FBXO5	5k101
BRD7	5k101
GINS1	5k101
CHEK2	5k101
TWNK	5k101
NOC3L	5k101
DBF4	5k101
MCM5	5k101
DCLRE1A	5k101
ATIC	5k101
UCK2	5k101
ADK	5k101
PPAT	5k101
NME1	5k101
DHODH	5k101
GMPS	5k101
CSTF3	5k101
NCL	5k101
HNRNPR	5k101
LSM5	5k101
SYNCRIP	5k101
HDAC2	5k101
HSPD1	5k101
RBM28	5k101
NAA15	5k101
UNG	5k101
TRAP1	5k101
PSME3	5k101
PCBD1	5k101
AASDHPPT	5k101
PSMD1	5k101
TFAM	5k101
MRPL9	5k101
PTCD3	5k101
DAP3	5k101
NCAPG2	5k101
NCAPD3	5k101
NAE1	5k101
DPH2	5k101
CBX3	5k101
PFDN2	5k101
FANCF	5k101
VPS72	5k101
PRMT3	5k101
CKS1B	5k101
EIF1AX	5k101
POLR3C	5k101
PNPO	5k101
CXCL8	86k16
SERPINE1	86k16
IL6	86k16
SOD2	86k16
STC1	86k16
PLAU	86k16
PTGS2	86k16
RGS3	86k16
